Fecha,NombreEstacion,CodigoEstacion,Latitud,Longitud,Municipio,Ubicacion,FechaMensual
2010-12-07,BERRUECOS,52040160,"1,5029403","-77,2153713",SanLorenzo11,NoRegister,2010-12-01
2010-11-17,BERRUECOS,52040160,"1,475593","-77,1795181",SanLorenzo12,San lorenzo-santa marta,2010-11-01
2010-11-17,BERRUECOS,52040160,"1,5203577","-77,1673032",SanLorenzo12,Via panamericana,2010-11-01
2008-03-18,BERRUECOS,52040160,"1,5025917","-77,2153391",SanLorenzo14,NoRegister,2008-03-01
2013-12-20,BERRUECOS,52040160,"1,5101526","-77,2244665",SanLorenzo2,Via taminango,2013-12-01
2013-12-20,BERRUECOS,52040160,"1,5931569","-77,1892374",SanLorenzo2,Vereda el carmen,2013-12-01
2012-04-11,BERRUECOS,52040160,"1,5028568","-77,2161132",SanLorenzo4,Deslizamiento en el casco urbano,2012-04-01
2012-03-24,BERRUECOS,52040160,"1,5028568","-77,2161132",SanLorenzo5,NoRegister,2012-03-01
2012-01-25,BERRUECOS,52040160,"1,5148949","-77,1498882",SanLorenzo6,Puente el tauso,2012-01-01
2012-01-25,BERRUECOS,52040160,"1,5318105","-77,2190447",SanLorenzo6,Via la laguna,2012-01-01
2011-06-22,BERRUECOS,52040160,"1,503498","-77,2151669",SanLorenzo7,NoRegister,2011-06-01
2011-06-02,BERRUECOS,52040160,"1,503498","-77,2151669",SanLorenzo8,NoRegister,2011-06-01
2011-04-25,BERRUECOS,52040160,"1,503498","-77,2151669",SanLorenzo9,NoRegister,2011-04-01
2011-11-23,BERRUECOS,52040160,"1,6784135","-77,0339471",SanPablo11,Via San Pablo-Florencia,2011-11-01
2006-03-15,BERRUECOS,52040160,"1,6791152","-77,0624565",SanPablo18,El alto,2006-03-01
2006-03-15,BERRUECOS,52040160,"1,6814317","-77,045462",SanPablo18,Nueva florida,2006-03-01
2013-11-18,BERRUECOS,52040160,"1,67617","-77,0402299",SanPablo4,NoRegister,2013-11-01
2012-01-21,BERRUECOS,52040160,"1,6640002","-77,0249229",SanPablo8,NoRegister,2012-01-01
2013-11-15,BERRUECOS,52040160,"1,5454964","-77,1102237",SanPedrodeCartago1,Vda San Isidro,2013-11-01
2012-02-10,BERRUECOS,52040160,"1,5529173","-77,1202812",SanPedrodeCartago2,NoRegister,2012-02-01
2011-06-24,BERRUECOS,52040160,"1,5529173","-77,1202812",SanPedrodeCartago3,NoRegister,2011-06-01
