FechaMensual,CodigoEstacion,Valor
2013-01-01,51035020,359.9
2013-02-01,51035020,85.1
2013-03-01,51035020,193.1
2013-04-01,51035020,348.4
2013-05-01,51035020,455.2
2013-06-01,51035020,85.2
2013-07-01,51035020,137.8
2013-08-01,51035020,44.4
2013-09-01,51035020,49.9
2013-11-01,51035020,12.6
2013-12-01,51035020,14.5
2014-01-01,51035020,111.7
2014-02-01,51035020,434.7
2014-03-01,51035020,219.0
2014-04-01,51035020,181.1
2014-05-01,51035020,458.9
2014-06-01,51035020,603.3
2014-07-01,51035020,54.5
2014-08-01,51035020,121.6
2014-09-01,51035020,79.2
2014-10-01,51035020,57.8
2014-11-01,51035020,20.6
2014-12-01,51035020,67.7
2015-01-01,51035020,125.1
2015-02-01,51035020,119.3
2015-03-01,51035020,183.2
2015-04-01,51035020,360.1
2015-05-01,51035020,206.1
2015-06-01,51035020,179.9
2015-07-01,51035020,243.2
2015-08-01,51035020,144.9
2015-09-01,51035020,15.9
2015-10-01,51035020,220.3
2015-11-01,51035020,220.2
2015-12-01,51035020,300.2
2006-01-01,53020010,291.0
2006-02-01,53020010,369.0
2006-03-01,53020010,126.0
2006-04-01,53020010,358.0
2006-05-01,53020010,251.0
2006-06-01,53020010,288.0
2006-07-01,53020010,95.0
2006-08-01,53020010,277.0
2006-09-01,53020010,292.0
2006-10-01,53020010,282.0
2006-11-01,53020010,503.0
2006-12-01,53020010,261.0
2007-01-01,53020010,443.0
2007-02-01,53020010,222.0
2007-03-01,53020010,520.0
2007-04-01,53020010,335.0
2007-05-01,53020010,700.0
2007-06-01,53020010,693.0
2007-07-01,53020010,332.0
2007-08-01,53020010,419.0
2007-09-01,53020010,144.5
2007-10-01,53020010,234.0
2007-11-01,53020010,185.0
2007-12-01,53020010,341.0
2008-01-01,53020010,582.3
2008-02-01,53020010,431.0
2008-03-01,53020010,345.0
2008-04-01,53020010,364.0
2008-05-01,53020010,554.0
2008-06-01,53020010,671.0
2008-07-01,53020010,522.0
2008-08-01,53020010,471.9
2008-09-01,53020010,314.0
2008-10-01,53020010,467.0
2008-11-01,53020010,115.0
2008-12-01,53020010,250.0
2009-01-01,53020010,516.0
2009-02-01,53020010,340.0
2009-03-01,53020010,179.0
2009-04-01,53020010,241.0
2009-05-01,53020010,176.0
2009-06-01,53020010,258.0
2009-07-01,53020010,311.0
2009-08-01,53020010,474.0
2009-09-01,53020010,123.0
2009-10-01,53020010,205.0
2009-11-01,53020010,254.0
2009-12-01,53020010,494.0
2010-01-01,53020010,262.0
2010-02-01,53020010,547.0
2010-03-01,53020010,350.0
2010-04-01,53020010,374.0
2010-05-01,53020010,299.0
2010-06-01,53020010,760.0
2010-07-01,53020010,470.0
2010-08-01,53020010,502.0
2010-09-01,53020010,305.0
2011-01-01,53020010,541.0
2011-02-01,53020010,30.0
2011-03-01,53020010,414.0
